ticker,sector,total_ret,volatility,sharpe,max_dd,calmar,latest_close,latest_rsi,latest_ytd,latest_ret_3m,latest_vol,data_from,data_to,n_days
ACB,11,262.9518,29.2539,0.8603,-42.4157,0.5933,24.1,55.2083,0.4167,0.0042,25.9665,2020-01-02,2026-04-08,1557
BID,11,56.6515,33.7686,0.3838,-44.4906,0.2913,41.45,54.1237,7.8023,0.0656,32.3076,2020-01-02,2026-04-08,1562
CTG,11,260.4061,34.1837,0.7769,-51.8797,0.5119,35.5,54.5946,0.0,-0.007,34.9918,2020-01-02,2026-04-08,1562
DGC,18,702.5937,41.8783,1.0156,-62.5811,0.6796,55.7,43.5216,-14.9618,-0.1869,76.3734,2020-01-02,2026-04-08,1556
FPT,6,273.4655,28.9559,0.8795,-44.4993,0.5723,79.1,55.157,-16.7368,-0.1743,40.9085,2020-01-02,2026-04-08,1562
GAS,22,36.0695,33.7929,0.3161,-46.8333,0.2281,79.9,34.4697,3.23,0.1036,53.5967,2020-01-02,2026-04-08,1562
GVR,18,234.6774,46.8562,0.6529,-75.616,0.4046,33.2,52.6132,28.932,0.2672,62.3472,2020-01-02,2026-04-08,1556
HDB,11,378.2214,33.397,0.9237,-47.7306,0.6463,26.35,56.6038,-8.981,-0.1128,28.632,2020-01-02,2026-04-08,1562
HPG,21,238.5732,34.5033,0.7433,-72.4179,0.3541,28.0,60.6557,7.8998,0.0606,28.5726,2020-01-02,2026-04-08,1562
LPB,11,1639.9267,40.773,1.3428,-65.8038,0.832,47.5,65.3846,17.284,0.1364,41.5302,2020-01-02,2026-04-08,1552
MBB,11,331.1183,31.9097,0.8996,-50.6452,0.5668,26.6,51.6667,4.931,0.0514,28.4816,2020-01-02,2026-04-08,1562
MSN,19,68.2547,35.3291,0.4142,-64.6621,0.2263,77.7,56.6474,1.1719,0.0091,30.3787,2020-01-02,2026-04-08,1562
MWG,7,121.831,35.7912,0.5389,-55.5023,0.3475,81.9,49.0566,-6.2929,-0.0735,45.8348,2020-01-02,2026-04-08,1562
PLX,1,-10.4775,33.8995,0.1169,-59.4609,0.0666,40.5,34.375,11.5702,0.1473,63.1788,2020-01-02,2026-04-08,1562
SAB,19,-46.1894,28.4529,-0.2096,-56.7555,-0.1051,45.4,56.0,-1.6038,-0.034,30.015,2020-01-02,2026-04-08,1562
SHB,11,605.0691,42.5136,0.9553,-66.2873,0.6127,15.3,56.4767,-3.6524,-0.0515,31.3454,2020-01-02,2026-04-08,1559
SSB,11,70.5115,26.7219,0.5332,-43.8013,0.3253,17.0,52.6316,-1.1628,-0.0258,8.5931,2021-03-24,2026-04-08,1258
SSI,5,383.5526,42.7867,0.8087,-72.4985,0.4773,29.4,62.6316,0.8576,-0.0281,48.1632,2020-01-02,2026-04-08,1562
STB,11,547.0588,39.6862,0.9583,-58.5774,0.6492,66.0,57.7381,13.9896,0.1379,44.4943,2020-01-02,2026-04-08,1562
TCB,11,173.1317,34.0078,0.6476,-64.3066,0.3425,30.7,53.7143,-12.1602,-0.1203,39.0201,2020-01-02,2026-04-08,1562
TPB,11,173.1788,34.7048,0.6411,-55.0025,0.4045,16.5,55.4348,-0.6024,-0.0351,36.0977,2020-01-02,2026-04-08,1562
VCB,11,53.4149,26.4403,0.3934,-39.4711,0.2636,60.2,52.0,5.4291,0.047,25.2294,2020-01-02,2026-04-08,1562
VHM,3,96.4856,36.462,0.4811,-61.0081,0.2875,123.0,73.5763,-7.2398,-0.0081,49.2805,2020-01-02,2026-04-08,1562
VIB,11,322.1411,33.6141,0.8634,-56.6346,0.5124,17.35,57.971,-1.9774,-0.0225,28.9608,2020-01-02,2026-04-08,1555
VIC,3,200.1957,36.3173,0.6694,-68.8233,0.3533,153.4,57.1429,-11.3807,-0.0955,53.0595,2020-01-02,2026-04-08,1562
VJC,23,14.527,28.7046,0.2187,-46.9128,0.1338,169.5,64.0625,-18.3133,-0.189,40.5684,2020-01-02,2026-04-08,1562
VNM,19,-13.3084,25.2106,0.0343,-45.892,0.0189,62.6,57.6923,3.8143,0.0229,23.9015,2020-01-02,2026-04-08,1562
VPB,11,311.9403,35.6711,0.8195,-45.5044,0.6424,27.6,61.7647,-1.0753,-0.0366,41.2266,2020-01-02,2026-04-08,1562
VPL,25,-0.5848,41.8649,0.1924,-32.8316,0.2453,85.0,63.5135,-15.0,-0.0977,32.5759,2025-05-13,2026-04-08,228
VRE,3,-19.6507,39.1673,0.1057,-57.4074,0.0721,27.6,58.9595,-22.4719,-0.1798,47.1799,2020-01-02,2026-04-08,1562
